#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
66,UAE,"895,018",+239,"2,302 ",,"876,495",+431,"16,221",,"88,588",228,"151,937,941","15,038,660","10,103,157 ",Asia,"114,3890",24,,"1,606"
67,Ecuador,"865,585",,"35,513 ",,N/A,N/A,N/A,759,"47,770","1,960","2,470,170","136,323","18,119,990 ",South America,215107,,,"21,313"
68,Costa Rica,"844,892",,"8,357 ",,"825,599",,"10,936",44,"163,203","1,614","4,163,300","804,200","5,176,944 ",North America,66191,,,"2,112"
69,Guatemala,"837,326",,"17,416 ",,"816,058",,"3,852",5,"45,247",941,"4,348,667","234,994","18,505,467 ",North America,"221,0634",,,208
70,New Zealand,"813,070","+7,830",534 ,+20,"751,457","+9,971","61,079",,"162,546",107,"6,966,982","1,392,811","5,002,100 ",Australia/Oceania,"69,3671","1,565",4,"12,211"
71,Latvia,"812,686",+818,"5,711 ",+6,"795,070","+1,776","11,905",11,"439,509","3,089","7,123,503","3,852,468","1,849,075 ",Europe,23240,442,3,"6,438"
72,Azerbaijan,"792,320",,"9,705 ",,"782,440",,175,,"76,910",942,"6,759,211","656,113","10,301,900 ",Asia,"131,0622",,,17
73,Panama,"768,199",,"8,178 ",,"757,373",,"2,648",9,"173,186","1,844","5,779,516","1,302,960","4,435,682 ",North America,65421,,,597
74,Saudi Arabia,"752,396",+105,"9,066 ",+3,"738,531",+265,"4,799",62,"21,029",253,"41,727,951","1,166,268","35,779,052 ",Asia,"483,9471",3,0.08,134
75,Sri Lanka,"662,775",,"16,495 ",,"642,539",,"3,741",,"30,722",765,"6,477,329","300,250","21,573,120 ",Asia,"331,3083",,,173
76,Paraguay,"648,446",,"18,734 ",,"624,673",,"5,039",3,"88,968","2,570","2,615,453","358,845","7,288,525 ",South America,113893,,,691
77,Kuwait,"630,641",,"2,555 ",,"626,843",,"1,243",4,"143,883",583,"7,948,416","1,813,462","4,383,007 ",Asia,"71,7151",,,284
78,Myanmar,"612,480",,"19,434 ",,"591,192",,"1,854",,"11,124",353,"7,811,554","141,875","55,059,284 ",Asia,"902,8337",,,34
79,Palestine,"581,678",,"5,352 ",,"575,613",,713,17,"109,493","1,007","3,078,533","579,493","5,312,457 ",Asia,99932,,,134
80,Dominican Republic,"578,626",,"4,375 ",,"574,132",,119,16,"52,404",396,"3,251,191","294,449","11,041,600 ",North America,"192,5243",,,11
81,Estonia,"566,923",+457,"2,508 ",+3,"500,460",+971,"63,955",3,"426,860","1,888","3,290,288","2,477,397","1,328,123 ",Europe,25300,344,2,"48,154"
82,Bahrain,"561,940",,"1,473 ",,"556,356",,"4,111",3,"311,017",815,"9,666,687","5,350,220","1,806,783 ",Asia,"31,2270",,,"2,275"
83,Venezuela,"521,880",,"5,699 ",,"514,477",,"1,704",230,"18,446",201,"3,359,014","118,725","28,292,484 ",South America,"544,9648",,,60
84,Moldova,"516,004",,"11,477 ",,"502,756",,"1,771",46,"128,446","2,857","3,192,777","794,763","4,017,270 ",Europe,83501,,,441
85,Egypt,"511,977",,"24,522 ",,"442,182",,"45,273",122,"4,840",232,"3,693,367","34,919","105,769,940 ",Africa,"2074,31329",,,428
86,Libya,"501,834",,"6,429 ",,"490,837",,"4,568",101,"71,307",914,"2,475,203","351,709","7,037,641 ",Africa,"141,0953",,,649
87,Ethiopia,"470,165",,"7,509 ",,"453,609",,"9,047",17,"3,917",63,"4,723,274","39,350","120,030,991 ",Africa,"25515,98525",,,75
88,Mongolia,"469,307",+41,"2,177 ",,"313,256",,"153,874",192,"139,166",646,"4,030,048","1,195,055","3,372,270 ",Asia,"71,5491",12,,"45,629"
